F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE,Predicted_number_of_claims
P,9,0,2,M2,S1,M2,L2,D,1,1,0
F,8,4,2,M2,S1,M2,L3,D,1,6.35,0
F,4,4,3,M1,S2,M2,L2,B,2,1,0
F,4,8,2,M2,S1,M3,L2,D,0,2,0
F,2,10,2,M1,S1,M1,L2,D,1,3.48,0
P,3,4,2,M1,S5,M1,L1,B,0,1,0
P,12,8,2,M2,S0,M1,L1,D,0,1,0
F,2,0,2,H1,S2,M2,L1,D,2,6,0
F,2,0,2,M1,S3,M1,L2,D,2,2,0
F,5,8,2,M2,S2,M1,L3,D,0,4.21,0
F,7,14,3,M1,S1,M1,L2,B,0,1.12,0
F,14,14,1,M1,S0,M1,L2,B,0,0.38,0
P,8,0,2,M1,S1,M1,L2,B,0,5,0
F,14,2,2,M2,S0,M3,L2,B,0,1,0
P,7,8,3,M1,S5,M1,L3,D,0,1,0
F,14,0,2,M2,S2,M1,L1,D,1,1,0
F,8,10,2,M2,S2,M3,L1,B,0,1,0
F,13,10,3,M2,S1,M1,L2,D,0,1,0
F,12,2,2,M2,S2,M2,L2,D,1,2,0
P,9,4,2,C,S3,M0,L2,B,1,1,0
F,2,6,3,M2,S1,M1,L1,D,0,2.36,0
F,9,8,2,M2,S0,M1,L2,D,1,1,0
F,10,10,2,M2,S1,M3,L3,D,0,0.61,0
P,4,4,2,M2,S2,M2,L2,D,0,1,0
F,5,2,2,M1,S1,M1,L3,D,3,1,0
F,4,10,1,H2,S2,M3,L1,B,1,0.64,0
P,10,10,3,M1,S1,M1,L4,D,0,1,0
F,9,4,2,M2,S0,M1,L1,D,1,2,0
F,5,20,1,C,S3,M2,L1,B,0,1,0
F,9,6,2,H1,S0,M2,L2,D,0,3,0
F,5,6,2,H1,S2,M3,L1,D,0,3,0
P,12,8,2,M1,S5,M1,L2,B,0,3,0
F,4,0,2,M1,S1,M1,L1,D,3,0.65,0
P,5,0,2,M1,S2,M1,L1,B,4,1.21,0
F,4,10,1,M1,S2,M1,L3,D,0,1,0
F,15,2,2,M1,S3,M1,L2,B,0,2,0
F,7,2,2,M2,S3,M1,L2,D,0,2,0
P,6,6,2,H2,S5,M3,L4,D,1,1,0
F,15,6,2,M2,S1,M3,L2,B,0,1,0
P,1,14,2,M2,S5,M3,L1,B,0,1.32,0
F,1,8,3,M2,S2,M1,L4,D,0,2.12,0
P,6,6,2,M1,S1,M1,L1,B,0,1,0
F,1,20,3,C,S3,M0,L1,E,0,0.87,0
F,1,0,2,M2,S1,M1,L1,E,1,1,0
F,12,20,2,C,S1,M0,L4,B,0,1,0
P,9,6,2,M2,S1,M2,L2,D,0,3.56,0
F,9,2,2,M1,S2,M2,L2,B,0,2.88,0
F,8,4,2,H2,S1,M3,L3,D,0,1,0
P,2,0,2,M2,S1,M2,L1,D,2,2,0
F,9,14,2,C,S1,M0,L1,D,0,1,0
P,14,2,2,H2,S5,M3,L3,D,3,0.24,0
F,14,2,2,H1,S3,M3,L3,D,0,0.46,0
F,14,14,2,M2,S0,M2,L3,D,0,0.15,0
P,14,10,1,M1,S5,M1,L1,B,0,0.4,0
F,7,10,2,H2,S1,M3,L2,D,0,7,0
F,8,10,2,H2,S1,M3,L1,D,1,1,0
F,8,2,2,M2,S2,M2,L2,D,2,3,0
F,3,20,2,M2,S1,M2,L1,D,0,1,0
F,11,10,2,M1,S1,M2,L1,B,1,1.22,0
P,14,4,2,C,S5,M1,L1,B,0,1,0
P,1,0,2,M2,S1,M2,L1,D,5,1,0
F,10,10,2,M2,S1,M3,L2,D,0,2.15,0
F,2,14,1,M1,S2,M1,L1,D,0,1,0
F,5,8,2,H1,S1,M2,L1,D,0,1.4,0
F,5,4,2,M1,S3,M1,L3,D,2,1,0
P,10,6,2,M1,S5,M1,L1,B,0,1.19,0
P,15,2,2,H1,S5,M2,L2,E,1,1,0
F,9,20,2,M2,S0,M2,L2,B,0,1,0
F,3,8,3,M2,S3,M2,L3,D,0,1,0
F,1,2,2,H1,S3,M3,L3,D,1,3,0
F,2,6,2,H2,S2,M3,L3,D,2,1,0
F,8,2,2,M2,S2,M2,L1,D,2,0.82,0
F,11,20,2,H2,S3,M3,L1,B,0,1,0
P,10,10,3,M1,S5,M1,L2,D,0,1,0
P,11,0,2,H2,S5,M3,L1,D,2,1,0
F,11,10,2,M2,S2,M2,L4,D,0,1,0
F,3,2,2,H2,S2,M3,L2,B,0,1,0
F,3,2,3,M2,S2,M1,L1,D,0,1,0
F,3,20,3,M1,S2,M1,L4,D,0,1,0
F,14,10,2,H1,S1,M3,L1,D,1,0.96,0
F,4,10,2,M1,S1,M1,L1,D,1,1,0
F,1,10,2,H1,S5,M2,L1,D,1,1,0
F,8,0,2,M1,S1,M3,L1,B,0,1,0
P,12,6,2,H2,S5,M3,L1,B,0,1,0
P,1,4,2,M2,S5,M2,L1,D,0,1,0
F,3,2,2,M1,S2,M2,L2,B,3,1,0
F,11,10,3,H1,S2,M3,L2,D,1,0.25,0
F,13,20,3,M2,S1,M0,L1,D,0,1,0
F,7,0,2,H2,S2,M3,L1,D,1,1,0
F,1,8,3,H2,S1,M2,L1,D,0,1,0
P,2,2,3,H2,S5,M3,L2,D,2,1,0
F,13,10,2,M2,S1,M1,L3,D,1,1,0
F,8,20,2,C,S1,M0,L2,B,0,15.77,0
F,14,6,2,M1,S0,M1,L2,D,0,29.13,3
F,3,20,2,C,S3,M0,L1,B,0,125.92,3
F,1,10,3,M2,S1,M2,L2,D,0,114.87,3
F,2,6,2,M1,S2,M1,L2,B,0,275.64,8
F,11,8,2,M2,S2,M1,L2,D,0,7.11,0
F,1,0,2,M1,S2,M1,L1,D,2,29.73,0
F,5,14,2,H1,S1,M3,L3,D,0,2,0
F,6,0,2,M2,S1,M2,L1,B,2,3,0
F,11,8,2,M2,S1,M1,L1,E,0,1,0
F,14,0,2,M2,S2,M2,L1,B,2,1,0
F,1,20,2,M1,S2,M1,L3,D,0,8.34,0
F,12,14,2,M1,S0,M1,L1,B,0,56.1,3
F,3,10,2,M1,S2,M0,L1,D,0,16.52,0
F,13,10,2,M1,S2,M0,L2,D,0,5.97,0
F,1,10,2,M1,S2,M1,L2,B,1,21.19,1
P,7,4,2,M1,S5,M1,L4,D,0,2,0
P,7,20,2,M1,S5,M1,L1,B,0,1,0
F,3,20,2,M1,S1,M1,L1,B,0,17.26,0
F,8,10,2,M1,S2,M0,L2,D,0,9.89,0
F,14,2,2,M1,S3,M1,L2,B,2,0.62,0
F,1,8,2,M2,S1,M3,L2,B,0,15.33,0
F,14,8,2,M2,S2,M2,L2,B,0,2.4,0
F,2,2,2,M2,S1,M2,L2,D,1,21.32,1
P,1,0,2,M2,S5,M1,L1,D,1,2,0
F,1,10,3,M1,S3,M2,L2,D,0,8.27,0
F,10,4,2,H1,S1,M2,L3,D,2,2.03,0
F,5,10,3,M2,S1,M1,L2,D,0,10.86,0
F,2,4,2,H2,S1,M3,L3,D,0,4.67,0
F,10,2,2,M2,S2,M2,L2,D,2,4.73,0
F,2,2,2,M2,S3,M1,L2,D,1,9,0
F,11,10,2,H1,S3,M3,L2,D,0,3.33,0
F,7,10,2,M1,S3,M0,L1,D,0,4.62,0
F,11,2,2,H1,S1,M3,L3,D,0,1.11,0
F,14,14,2,M1,S1,M1,L4,B,0,8.3,1
F,5,6,3,M1,S2,M2,L2,B,0,3,0
F,2,4,2,M2,S1,M3,L2,D,1,3,0
F,3,2,2,M1,S2,M1,L3,D,2,2,0
F,5,8,2,M2,S2,M2,L1,B,0,2.76,0
F,5,4,2,H1,S2,M2,L2,D,0,4.71,0
F,8,0,2,M1,S2,M1,L2,B,2,2,0
P,13,2,2,M2,S5,M1,L2,D,0,3,0
P,14,0,2,M1,S5,M2,L1,B,1,4.15,0
F,9,6,2,M2,S1,M2,L4,D,0,4,0
F,5,14,2,M1,S3,M2,L2,D,0,2,0
F,7,10,3,M2,S2,M1,L1,D,0,1,0
F,14,20,2,C,S0,M2,L1,E,0,1.1,0
P,1,8,2,M1,S5,M2,L2,D,0,5,0
F,6,20,2,C,S1,M0,L4,B,0,3,0
F,1,0,2,M2,S2,M2,L2,B,4,3,0
F,3,6,2,M1,S1,M0,L3,D,0,1.34,0
F,14,14,2,H1,S3,M3,L2,D,0,1,0
F,14,8,2,M1,S0,M1,L3,D,0,2.23,0
P,10,4,2,M1,S5,M1,L3,D,0,7.49,0
F,1,4,3,H1,S2,M2,L2,D,1,3.12,0
F,12,4,2,H1,S1,M2,L2,E,1,0.85,0
F,7,10,3,M2,S1,M2,L1,D,0,3,0
F,6,2,2,M2,S1,M1,L4,D,2,0.68,0
F,8,2,2,M1,S1,M1,L2,B,2,4,0
P,7,10,2,M1,S5,M1,L2,D,0,4.81,0
F,1,2,2,M2,S5,M2,L2,D,0,3,0
F,2,4,2,M2,S3,M1,L1,B,0,1,0
P,2,6,3,M2,S1,M2,L2,D,0,1,0
P,11,10,2,M1,S1,M1,L2,D,0,1.49,0
P,5,4,3,M2,S1,M1,L3,D,0,1,0
F,11,10,2,H1,S3,M2,L1,D,0,0.5,0
F,10,10,2,M2,S2,M2,L3,D,0,5.53,0
F,9,0,2,H2,S5,M3,L3,D,3,0.3,0
F,5,0,2,M2,S2,M2,L2,D,1,1.93,0
F,2,6,2,M2,S1,M2,L4,D,1,1,0
P,6,2,2,M1,S1,M2,L1,B,0,2,0
F,3,4,2,M2,S2,M1,L3,B,0,1,0
P,13,0,2,C,S5,M1,L2,B,1,1.73,0
F,11,10,2,H1,S2,M3,L2,B,2,1.27,0
F,2,6,2,H1,S2,M3,L2,D,1,5,0
P,5,6,2,M1,S1,M2,L3,B,0,0.32,0
P,13,14,2,M1,S1,M1,L2,B,0,2.63,0
P,1,10,1,H1,S2,M3,L1,B,0,1,0
F,13,20,2,M1,S5,M1,L2,B,0,1,0
P,3,6,2,M1,S5,M2,L2,D,2,1,0
F,1,14,3,C,S2,M1,L1,D,0,1.9,0
F,6,8,2,M2,S2,M2,L3,D,1,1,0
P,1,0,2,M1,S5,M2,L1,B,3,1,0
F,7,14,2,H1,S1,M2,L2,B,0,2.4,0
F,1,10,1,H2,S1,M3,L2,B,1,2,0
F,1,20,2,H1,S2,M2,L1,D,0,1.25,0
F,13,20,2,M2,S3,M1,L1,D,0,3,0
P,4,0,2,M2,S5,M2,L1,B,2,0.66,0
F,13,4,2,M2,S2,M1,L1,D,0,1,0
F,3,10,2,M2,S2,M2,L3,B,0,1,0
F,8,2,2,M1,S1,M0,L1,B,0,1,0
P,10,8,2,M1,S1,M1,L2,B,0,1.43,0
F,14,4,2,C,S2,M0,L1,B,0,0.85,0
F,11,14,2,H1,S2,M3,L2,B,0,5,0
F,12,20,2,M1,S0,M0,L1,B,0,2,0
F,7,6,2,H1,S1,M3,L3,D,0,0.08,0
F,12,20,3,M1,S1,M1,L1,D,0,1,0
F,2,0,3,M1,S1,M1,L1,D,0,1,0
F,7,14,2,M2,S2,M1,L1,D,0,5.1,0
P,8,6,3,H1,S5,M2,L4,D,0,1,0
F,14,10,2,M2,S2,M1,L2,B,0,0.94,0
F,7,2,2,M1,S2,M2,L2,D,0,1,0
F,3,4,3,H1,S2,M2,L2,D,0,1,0
F,8,8,2,H1,S1,M2,L2,D,1,3,0
F,11,8,2,M1,S1,M0,L1,D,0,0.7,0
F,9,20,3,M1,S3,M1,L2,D,0,2,0
P,1,4,2,M1,S3,M2,L2,D,0,2,0
P,5,8,2,M1,S1,M1,L2,D,0,0.75,0
F,6,10,3,H1,S1,M2,L3,B,0,0.5,0
F,9,2,3,M2,S5,M1,L3,D,0,1,0
P,12,2,2,H2,S5,M3,L2,D,4,1,0
F,2,8,2,H2,S2,M3,L4,D,2,1,0
F,10,8,3,M1,S1,M2,L2,B,0,1,0
F,14,0,2,M1,S1,M1,L2,D,1,0.93,0
P,6,0,2,M1,S5,M0,L2,B,0,2,0
F,6,10,2,H1,S1,M3,L1,D,0,2.52,0
P,3,0,2,H2,S5,M3,L1,D,0,0.24,0
F,2,0,2,H2,S2,M3,L1,D,0,1,0
F,2,0,2,H2,S1,M3,L1,D,2,3,0
F,15,6,2,M2,S3,M1,L3,D,0,1,0
F,6,4,2,M2,S1,M2,L2,B,0,1,0
P,11,6,2,M1,S5,M0,L2,D,0,1,0
F,11,0,2,H1,S0,M2,L1,D,1,1,0
P,14,10,3,M1,S5,M2,L3,D,0,0.15,0
F,10,14,2,H1,S2,M3,L2,B,0,1.21,0
F,14,0,2,M1,S2,M2,L1,B,0,4,0
F,9,20,2,M2,S2,M1,L1,B,0,2,0
F,12,10,2,H1,S1,M3,L1,D,1,0.95,0
F,1,0,3,M1,S2,M1,L2,B,2,1,0
F,3,0,1,H2,S2,M3,L1,B,1,0.11,0
F,5,4,2,M2,S1,M1,L1,B,0,0.55,0
P,1,8,2,H2,S2,M3,L2,B,0,1,0
F,12,14,2,H1,S1,M2,L4,D,0,1,0
F,5,6,2,M1,S3,M2,L2,B,0,2,0
P,1,0,2,M2,S2,M2,L1,B,5,1,0
F,5,10,3,M1,S2,M2,L2,D,0,3,0
P,9,20,2,M1,S2,M1,L1,B,0,0.81,0
F,14,0,2,M2,S3,M2,L2,D,0,1,0
F,12,2,2,M2,S0,M3,L2,B,1,1,0
P,7,4,2,M2,S3,M1,L2,D,0,1,0
F,1,6,2,H2,S3,M3,L2,D,2,1,0
F,14,0,2,H1,S1,M2,L2,D,4,0.41,0
F,4,2,2,M2,S2,M1,L2,B,2,1,0
F,9,6,3,M2,S1,M2,L1,D,0,1,0
F,2,14,2,C,S1,M1,L1,D,0,0.54,0
P,10,2,3,M2,S2,M1,L2,D,0,1,0
F,7,8,2,M2,S2,M1,L3,D,0,0.17,0
F,12,20,3,C,S3,M3,L1,B,0,1,0
F,2,2,2,M2,S3,M2,L2,B,1,1,0
P,11,4,3,M1,S5,M1,L3,D,0,1,0
F,5,14,3,M1,S3,M1,L1,D,0,1,0
F,9,14,2,M1,S3,M2,L2,B,0,0.97,0
F,1,0,3,M1,S2,M1,L2,D,0,1,0
F,15,14,2,M2,S1,M2,L4,B,0,1,0
F,1,6,3,H1,S1,M2,L2,D,1,1,0
F,14,4,2,M1,S2,M1,L1,B,1,1,0
P,9,0,2,H1,S5,M2,L1,D,2,1,0
F,2,4,2,H2,S1,M2,L2,D,1,1,0
F,15,10,2,C,S1,M2,L2,D,0,1,0
F,4,14,1,M2,S1,M1,L1,B,0,1,0
F,1,8,2,M2,S2,M2,L2,D,0,964.96,25
F,7,14,2,M1,S1,M0,L2,B,0,19.67,1
F,14,8,2,M1,S1,M2,L2,B,0,13.42,1
F,7,8,2,M1,S2,M1,L2,D,0,43.47,1
F,14,10,2,M2,S0,M2,L2,D,0,39.81,4
F,1,2,2,M2,S1,M1,L2,E,0,3.5,0
F,4,6,2,M2,S2,M1,L2,D,0,36.76,1
F,3,20,2,C,S2,M0,L1,B,0,81.9,1
F,7,20,2,C,S2,M0,L2,B,0,17.83,0
F,9,4,2,M2,S3,M2,L1,D,1,1,0
F,1,6,2,M2,S2,M2,L1,B,0,21.81,0
F,5,6,2,M1,S1,M1,L3,D,0,20.8,1
F,8,14,2,M1,S1,M0,L1,D,0,16.78,0
F,4,8,2,H1,S1,M2,L2,D,1,8,0
F,1,20,2,H1,S1,M1,L1,D,0,2,0
F,13,10,2,M1,S3,M1,L1,B,0,14.93,1
F,13,10,2,M2,S1,M2,L1,B,0,1.17,0
F,4,14,2,C,S2,M1,L2,B,0,35.04,1
F,2,0,2,M1,S3,M1,L2,D,0,9.35,0
F,10,4,2,M2,S1,M2,L3,D,0,30.63,1
F,3,4,2,M1,S1,M2,L3,D,0,6.49,0
F,2,10,2,C,S2,M0,L1,D,0,5.74,0
P,4,2,2,M1,S1,M1,L2,B,0,6,0
F,1,6,2,M1,S3,M0,L1,B,0,26,1
F,7,2,2,M1,S2,M2,L2,B,0,1.23,0
F,11,20,2,M1,S2,M0,L1,B,0,9.53,0
P,1,4,2,M1,S2,M2,L2,D,0,9,0
F,13,14,2,C,S3,M0,L2,B,0,8.83,0
F,1,6,2,M1,S2,M1,L2,D,1,25.22,1
F,7,6,2,M1,S2,M1,L1,B,0,57.98,1
F,1,6,2,H1,S2,M2,L1,D,0,38.67,1
F,1,8,2,M2,S3,M3,L2,D,1,3,0
F,1,14,3,M1,S1,M2,L2,B,0,6.07,0
P,12,10,2,M2,S5,M2,L2,D,1,1,0
F,4,0,2,M1,S2,M1,L2,D,1,3,0
F,11,20,2,M1,S2,M0,L2,D,0,10.08,0
F,1,4,3,M1,S1,M1,L2,B,0,3,0
F,4,4,2,M2,S2,M3,L2,D,0,3,0
F,10,20,2,M1,S2,M0,L1,B,0,9.36,0
P,1,4,2,C,S2,M0,L2,B,0,1,0
F,1,0,2,H1,S2,M3,L1,B,2,4,0
F,5,6,3,H1,S1,M2,L2,D,0,1,0
F,12,8,2,H1,S1,M3,L1,B,2,1,0
F,1,2,3,M2,S2,M2,L3,D,0,10.26,0
F,10,2,2,M2,S1,M2,L3,D,0,3.73,0
F,10,14,2,M1,S3,M0,L2,D,0,2,0
F,10,2,2,H1,S1,M2,L2,D,3,1,0
F,9,2,2,H1,S2,M2,L2,D,1,5,0
P,11,20,3,M1,S5,M1,L2,D,0,2.23,0
P,1,2,2,H1,S2,M2,L2,D,2,2,0
F,12,6,2,M2,S2,M1,L3,D,0,1.71,0
F,6,14,1,C,S2,M0,L1,B,0,1,0
F,1,0,3,M1,S2,M2,L2,D,0,1,0
F,14,20,2,C,S1,M1,L1,D,0,5.21,0
F,13,0,2,M1,S2,M1,L2,B,2,2,0
P,10,0,2,M2,S2,M2,L2,D,2,1,0
F,2,6,3,M1,S1,M2,L2,B,0,3.04,0
F,2,0,2,H1,S1,M3,L1,D,1,3,0
F,10,0,2,M1,S1,M2,L2,B,0,9,0
F,2,14,2,H2,S3,M2,L1,B,1,0.51,0
F,6,14,2,M2,S2,M2,L2,D,0,23.25,1
F,10,14,1,M1,S3,M0,L1,B,0,1,0
F,4,14,2,M2,S1,M2,L3,D,0,5.94,0
F,5,0,2,M1,S1,M1,L1,B,2,2,0
F,2,2,2,M2,S2,M2,L3,B,0,1,0
F,1,0,2,C,S1,M1,L2,B,0,9,0
F,11,0,2,M2,S2,M1,L1,D,0,1.48,0
F,7,14,3,M1,S1,M2,L1,B,0,1,0
F,10,6,2,H1,S1,M2,L2,E,0,0.5,0
F,7,8,2,M2,S0,M3,L1,D,2,1,0
F,3,2,2,M2,S2,M2,L2,D,2,6.8,0
F,1,20,2,M1,S2,M1,L2,B,1,2,0
F,2,6,2,M1,S3,M0,L1,B,1,1,0
F,8,8,2,M1,S2,M0,L1,D,0,2.88,0
F,1,14,3,M1,S2,M1,L3,D,0,8.58,0
P,3,6,2,M1,S1,M1,L3,B,0,1,0
F,4,0,3,M1,S1,M1,L2,B,0,1,0
F,14,20,3,M1,S1,M2,L2,B,0,1,0
F,14,10,2,H2,S2,M3,L2,B,0,2.39,0
P,2,2,2,H2,S5,M3,L2,D,4,3,0
F,11,2,2,M2,S1,M1,L3,D,1,4.26,0
F,1,2,2,H1,S3,M3,L2,D,2,6.64,0
P,10,6,2,M2,S5,M2,L4,D,0,1,0
F,10,2,2,H1,S2,M3,L2,D,4,0.53,0
P,2,2,2,M2,S2,M2,L3,D,1,1.78,0
F,12,14,2,M1,S0,M3,L4,B,0,0.11,0
F,6,4,3,M2,S2,M2,L3,D,0,0.38,0
P,2,8,2,H1,S5,M2,L1,D,1,1,0
F,4,2,2,M2,S1,M3,L2,D,0,2,0
F,8,0,2,M2,S1,M3,L2,B,2,0.87,0
F,10,14,2,H1,S1,M3,L4,D,0,1,0
P,1,0,3,M2,S5,M1,L2,D,0,1,0
F,3,0,2,M2,S2,M2,L1,B,1,2,0
F,1,4,3,M2,S2,M2,L3,D,1,2.5,0
F,11,2,2,H1,S1,M2,L3,D,3,0.74,0
F,8,10,2,M2,S1,M1,L2,B,0,1.2,0
F,5,8,2,H1,S2,M3,L2,D,0,2.97,0
F,1,0,2,H1,S1,M2,L3,D,2,3,0
F,5,10,2,H2,S1,M3,L2,B,1,0.29,0
F,10,8,2,M1,S2,M1,L2,B,1,1,0
P,1,0,2,M2,S3,M2,L2,B,0,3,0
F,14,2,2,M2,S1,M2,L2,D,2,0.23,0
F,3,14,3,M1,S1,M1,L1,B,0,1,0
F,7,8,3,M2,S2,M1,L2,D,0,3.22,0
F,4,6,2,M2,S2,M1,L2,E,0,2.96,0
F,5,6,2,H1,S1,M3,L3,D,1,1,0
F,8,10,3,H1,S3,M2,L4,D,0,1,0
F,5,20,1,M1,S2,M0,L1,B,0,1,0
F,14,14,2,C,S2,M2,L2,B,0,0.09,0
F,9,20,2,H1,S2,M1,L1,B,0,1,0
P,13,10,2,M1,S2,M1,L1,B,0,1,0
F,3,4,2,M2,S1,M3,L2,D,0,1.73,0
P,13,14,3,M1,S5,M1,L2,D,0,2,0
F,6,20,2,C,S1,M2,L1,B,0,3,0
F,2,8,2,H1,S5,M2,L1,D,2,1,0
F,11,2,2,M1,S1,M1,L1,D,1,1.97,0
F,13,4,2,H1,S1,M2,L3,D,1,1,0
F,7,0,3,H1,S2,M2,L2,D,1,1,0
P,3,10,3,M1,S5,M1,L2,D,0,1,0
F,3,14,2,H1,S3,M2,L2,B,0,1,0
P,6,6,2,H1,S5,M3,L2,D,0,1.25,0
P,6,4,2,H1,S1,M2,L4,D,0,0.18,0
F,11,4,1,M1,S2,M1,L2,B,1,0.95,0
F,13,20,3,M2,S2,M1,L1,D,0,0.22,0
F,13,6,2,M2,S3,M2,L4,D,0,1,0
F,4,0,2,M1,S3,M2,L1,B,1,2,0
F,13,14,2,M1,S0,M1,L3,D,0,2,0
F,2,2,2,M2,S5,M2,L1,D,3,1,0
F,2,4,3,M1,S1,M1,L1,D,0,1,0
P,1,0,2,M1,S0,M1,L1,B,0,1,0
F,1,20,2,M2,S3,M1,L2,B,1,1,0
F,3,2,2,H1,S2,M1,L3,D,1,0.08,0
P,4,0,2,H1,S5,M3,L1,B,1,1,0
F,1,0,2,H2,S2,M3,L1,B,1,1,0
F,14,14,1,M1,S3,M0,L2,B,0,0.74,0
F,11,2,2,M1,S1,M2,L1,B,1,1,0
F,9,10,1,H2,S3,M3,L1,B,0,1,0
P,9,2,2,M1,S2,M1,L4,B,0,1,0
F,1,0,3,M2,S5,M1,L1,D,1,1,0
F,1,14,2,H1,S2,M3,L1,D,1,1,0
F,2,0,2,H1,S1,M3,L1,D,0,1,0
P,4,4,2,M2,S5,M3,L2,D,1,1,0
F,14,10,2,H1,S1,M3,L2,B,2,0.21,0
F,7,14,2,H1,S2,M3,L2,D,0,1.77,0
F,9,0,2,M1,S2,M1,L1,D,2,1,0
P,5,4,2,M1,S5,M2,L3,D,0,1,0
F,13,4,2,M1,S1,M1,L1,B,1,1,0
F,3,14,2,H2,S1,M3,L2,D,1,0.11,0
F,12,4,2,M2,S0,M1,L2,D,1,1,0
F,1,2,3,M2,S2,M2,L2,B,1,1,0
P,1,20,2,M1,S5,M0,L1,B,0,1,0
F,11,2,2,M1,S1,M1,L2,D,1,1,0
F,12,8,2,M1,S2,M0,L1,B,0,1,0
F,12,8,2,M2,S3,M1,L3,D,0,0.69,0
F,12,0,2,M1,S1,M1,L1,D,1,1,0
F,10,4,2,M2,S1,M2,L2,D,0,40.82,2
F,1,2,2,M2,S1,M2,L2,D,2,51.19,1
F,13,14,2,C,S1,M0,L1,B,0,68.61,2
F,8,14,2,M1,S1,M1,L2,B,0,195.55,7
F,1,0,2,H1,S1,M3,L2,D,1,6.53,0
F,14,10,2,M1,S2,M1,L3,D,0,8.41,1
F,1,6,2,M1,S2,M2,L1,D,0,42.56,1
F,12,20,2,M1,S1,M0,L1,B,0,6.21,0
F,1,20,2,C,S3,M1,L1,B,0,384.11,8
P,1,0,2,M1,S2,M1,L2,B,0,59.85,1
F,9,14,2,M1,S0,M2,L1,B,0,0.34,0
F,4,6,2,M2,S1,M2,L3,D,0,26.78,1
F,12,14,2,M2,S3,M1,L2,D,0,1.24,0
F,6,0,2,M1,S2,M1,L1,E,0,2,0
F,1,8,2,M1,S1,M1,L3,B,0,45.25,1
F,1,6,2,M1,S3,M1,L2,B,2,1,0
F,4,20,3,M1,S2,M1,L1,D,0,3.8,0
F,3,20,2,C,S2,M1,L4,D,0,1,0
F,15,14,2,C,S1,M1,L2,B,0,3.66,0
F,12,10,2,M1,S3,M1,L2,D,0,12.44,1
F,5,6,2,H1,S3,M2,L1,D,0,3,0
F,3,14,2,M2,S3,M1,L2,D,1,3,0
P,2,8,2,H1,S5,M2,L2,D,1,1,0
F,3,0,2,M2,S2,M1,L2,D,2,6.97,0
F,2,14,2,M1,S2,M2,L1,D,0,5.87,0
F,12,10,2,M1,S2,M0,L1,B,0,3.62,0
F,1,14,2,M2,S3,M1,L4,D,0,4.96,0
